crash_date,dotw,weekend,year,quarter,light_desc,county_desc,county_no,junction_desc,collision_type_desc,surf_cond_desc,rd_cond_desc,rd_div_desc,fix_obj_desc,report_no,acc_date,acc_time,signal_flag_desc,signal_flag,c_m_zone_flag,harm_event_code1,harm_event_desc2,harm_event_code2,rte_no,log_mile,logmile_dir_flag_desc,logmile_dir_flag,mainroad_name,distance,feet_miles_flag,distance_dir_flag,reference_no,reference_road_name,latitude,longitude,geocoded_column_type,geocoded_column_coordinates,report_type,weather_desc,feet_miles_flag_desc,reference_suffix,ped_injury,fatal_injury,harm_event_desc1,crash_datetime
2015-03-21,Sat,Y,2015,Q1,Daylight,Baltimore City,24,Intersection,Angle Meets Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ086000F,20150321,11:00:00,Yes,Y,N,1,Not Applicable,0,40,5.26,East,E,ORLEANS ST,0,F,E,40,200 N. WASHINGTON ST,39.2953258903104,-76.5894135832787,Point,,NA,NA,NA,NA,N,N,NA,2015-03-21T11:00:00Z
2016-08-31,Wed,N,2016,Q3,Daylight,Baltimore City,24,Non Intersection,Same Direction Sideswipe,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ424002R,20160831,08:00:00,No,N,N,3,Not Applicable,0,1680,1.32,West,W,E FAYETTE ST,NA,M,E,1445,N BROADWAY,39.2940223135993,-76.5922701358795,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-08-31T08:00:00Z
2016-07-07,Thu,N,2016,Q3,Daylight,Baltimore City,24,Intersection,Same Direction Sideswipe,Dry,No Defects,One-way Trafficway,Not Applicable,ADI3760014,20160707,14:01:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,500 N WASHINGTON ST,0,F,N,NA,1980 ORLEANS ST,39.2953300417898,-76.5893465280533,Point,,Injury Crash,Not Applicable,NA,NA,N,N,NA,2016-07-07T14:01:00Z
2017-11-28,Tue,N,2017,Q4,Dark Lights On,Baltimore City,24,Non Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADI3610015,20171128,17:26:00,No,N,N,1,Not Applicable,0,40,6.6,East,E,ORLEANS ST,50,F,E,1087,N WASHINGTON ST,39.2953393826176,-76.5896375477314,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2017-11-28T17:26:00Z
2015-04-21,Tue,N,2015,Q2,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ013000J,20150421,17:00:00,No,N,N,1,Not Applicable,0,1680,1.07,West,W,E FAYETTE ST,100,F,W,1087,N WASHINGTON ST,39.2940887384772,-76.5890407562256,Point,,NA,NA,NA,NA,N,N,NA,2015-04-21T17:00:00Z
2017-10-30,Mon,N,2017,Q4,Daylight,Baltimore City,24,Intersection,Head On Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ838000N,20171030,16:22:00,No,N,N,1,Not Applicable,0,NA,0,NA,NA,E FAYETTE,0,F,E,NA,N ANN,39.2941220151742,-76.5918852388859,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2017-10-30T16:22:00Z
2015-11-14,Sat,Y,2015,Q4,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADH909001B,20151114,08:18:00,No,N,N,1,Parked Vehicle,2,1410,1.38,South,S,N PATTERSON PARK AVE,5,F,N,1680,E FAYETTE ST,39.2944125588543,-76.5848565101624,Point,,NA,Not Applicable,NA,NA,N,N,NA,2015-11-14T08:18:00Z
2015-12-22,Tue,N,2015,Q4,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Wet,No Defects,"Two-way, Not Divided",Not Applicable,ADI997001P,20151222,07:30:00,Yes,Y,N,1,Not Applicable,0,40,6.53,East,E,ORLEANS ST,0,F,E,1025,N WOLFE ST,39.2952677695727,-76.5906500816345,Point,,NA,Raining,NA,NA,N,N,NA,2015-12-22T07:30:00Z
2016-07-22,Fri,N,2016,Q3,Daylight,Baltimore City,24,Intersection,Same Direction Right Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ673002H,20160722,12:20:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,JEFFERSON ST,0,F,W,NA,N. CHESTER ST.,39.2964716892877,-76.5876352787018,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-07-22T12:20:00Z
2019-06-11,Tue,N,2019,Q2,Daylight,Baltimore City,24,Non Intersection,Single Vehicle,Dry,No Defects,"Two-way, Not Divided",Curb,ADI668005J,20190611,09:16:00,No,N,N,11,Spilled Cargo,12,NA,0,NA,NA,JEFFERSON ST,0,U,E,NA,N. PATTERSON PARK AVE,39.2967261,-76.5863831719738,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2019-06-11T09:16:00Z
2015-08-24,Mon,N,2015,Q3,Daylight,Baltimore City,24,Intersection Related,Same Direction Rear End,Dry,No Defects,One-way Trafficway,Not Applicable,ADJ0860018,20150824,14:10:00,Yes,Y,N,1,Other Vehicle,1,40,6.6,East,E,ORLEANS ST,0,F,E,1087,N WASHINGTON ST,39.2952926784662,-76.5893733501434,Point,,NA,NA,NA,NA,N,N,NA,2015-08-24T14:10:00Z
2015-10-26,Mon,N,2015,Q4,Dark Lights On,Baltimore City,24,Intersection Related,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ446000J,20151026,21:59:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,200 N. CASTLE ST,NA,F,N,NA,2000 ORLEANS ST,39.2952636180896,-76.5884935855865,Point,,NA,NA,NA,NA,N,N,NA,2015-10-26T21:59:00Z
