crash_date,dotw,weekend,year,quarter,light_desc,county_desc,county_no,junction_desc,collision_type_desc,surf_cond_desc,rd_cond_desc,rd_div_desc,fix_obj_desc,report_no,acc_date,acc_time,signal_flag_desc,signal_flag,c_m_zone_flag,harm_event_code1,harm_event_desc2,harm_event_code2,rte_no,log_mile,logmile_dir_flag_desc,logmile_dir_flag,mainroad_name,distance,feet_miles_flag,distance_dir_flag,reference_no,reference_road_name,latitude,longitude,geocoded_column_type,geocoded_column_coordinates,report_type,weather_desc,feet_miles_flag_desc,reference_suffix,ped_injury,fatal_injury,harm_event_desc1,crash_datetime
2016-09-18,Sun,Y,2016,Q3,Dark Lights On,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADH237000C,20160918,21:04:00,No,N,N,1,Other Vehicle,1,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2955023279686,-76.5851140022278,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-09-18T21:04:00Z
2015-01-18,Sun,Y,2015,Q1,Dark Lights On,Baltimore City,24,Intersection Related,Other,Dry,No Defects,One-way Trafficway,Curb,ADF6860002,20150118,02:40:00,Yes,Y,N,9,Fixed Object,9,1087,0.257,North,N,N WASHINGTON ST,10,F,N,40,ORLEANS ST,39.2954504345859,-76.5893840789795,Point,,NA,NA,NA,NA,N,N,NA,2015-01-18T02:40:00Z
2018-01-11,Thu,N,2018,Q1,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,NA,Not Applicable,ADJ281002K,20180111,10:43:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,1800 ORLEANS STREET,0,F,U,NA,1800 ORLEANS STREET,39.2952677695727,-76.5921467542648,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2018-01-11T10:43:00Z
2016-07-07,Thu,N,2016,Q3,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADH839001K,20160707,14:00:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,MONTFORD AVE,0,F,N,NA,JEFFERSON ST,39.2966854866587,-76.5835878252983,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-07-07T14:00:00Z
2016-01-31,Sun,Y,2016,Q1,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Ice,No Defects,"Two-way, Not Divided",Not Applicable,ADI997001X,20160131,05:45:00,Yes,Y,N,1,Not Applicable,0,1665,1.647,East,E,E BALTIMORE ST,0,F,E,1410,N PATTERSON PARK AVE,39.2918302572772,-76.5848350524902,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-01-31T05:45:00Z
2015-05-14,Thu,N,2015,Q2,Dark Lights On,Baltimore City,24,Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Divided, Positive Median Barrier",Not Applicable,ADH504000B,20150514,04:50:00,Yes,Y,N,1,Other Vehicle,1,40,6.6,East,E,ORLEANS ST,0,F,E,1087,N WASHINGTON ST,39.2952926784662,-76.5894055366516,Point,,NA,NA,NA,NA,N,N,NA,2015-05-14T04:50:00Z
2015-08-02,Sun,Y,2015,Q3,Dark Lights On,Baltimore City,24,Intersection Related,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ484000V,20150802,20:33:00,No,N,N,1,Parked Vehicle,2,1390,0.045,West,W,E LOMBARD ST,100,F,E,0,S MADEIRA ST,39.2907425068849,-76.5854305028915,Point,,NA,NA,NA,NA,N,N,NA,2015-08-02T20:33:00Z
2015-09-23,Wed,N,2015,Q3,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ114000L,20150923,08:00:00,Yes,Y,N,1,Not Applicable,0,40,6.6,East,E,ORLEANS ST,0,F,E,1087,N WASHINGTON ST,39.2952968299476,-76.5893572568893,Point,,NA,NA,NA,NA,N,N,NA,2015-09-23T08:00:00Z
2019-05-22,Wed,N,2019,Q2,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ8920023,20190522,08:27:00,Yes,Y,N,1,Not Applicable,0,40,6.795,East,E,ORLEANS ST,0,F,E,0,N MADEIRA ST,39.2954210326096,-76.5858636865619,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2019-05-22T08:27:00Z
2015-09-28,Mon,N,2015,Q3,Dark Lights On,Baltimore City,24,Not Applicable,Other,Not Applicable,No Defects,One-way Trafficway,Curb,ADF549000C,20150928,02:30:00,No,N,N,9,Not Applicable,0,1087,0,North,N,N WASHINGTON ST,50,F,N,1085,S WASHINGTON ST (BACK),39.295085104083,-76.5895128250122,Point,,NA,Not Applicable,NA,NA,N,N,NA,2015-09-28T02:30:00Z
2015-07-23,Thu,N,2015,Q3,Daylight,Baltimore City,24,Intersection,Angle Meets Left Turn,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ563000R,20150723,17:13:00,No,N,N,1,Not Applicable,0,40,6.643,East,E,ORLEANS ST,0,F,E,0,N CASTLE ST,39.2953674050935,-76.5884721279144,Point,,NA,NA,NA,NA,N,N,NA,2015-07-23T17:13:00Z
2015-08-28,Fri,N,2015,Q3,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,One-way Trafficway,Not Applicable,ADJ712000B,20150828,22:45:00,No,N,N,1,Not Applicable,0,1410,1.214,South,S,N PATTERSON PARK AVE,0,F,S,0,JEFFERSON ST,39.2966294427508,-76.5850281715393,Point,,NA,NA,NA,NA,N,N,NA,2015-08-28T22:45:00Z
2016-01-05,Tue,N,2016,Q1,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADI997001V,20160105,11:40:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,E BALTIMORE ST,0,F,N,NA,S WOLFE ST,39.2916475828194,-76.5904784202576,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-01-05T11:40:00Z
2018-07-12,Thu,N,2018,Q3,Daylight,Baltimore City,24,Intersection Related,Same Movement Angle,Dry,No Defects,Not Applicable,Not Applicable,ADJ9510009,20180712,15:30:00,Yes,Y,N,1,Other Vehicle,1,1410,1.29,South,S,N PATTERSON PARK AVE,3,F,N,40,ORLEANS ST,39.2955178959759,-76.5849497169256,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2018-07-12T15:30:00Z
2015-06-20,Sat,Y,2015,Q2,Daylight,Baltimore City,24,Non Intersection,Single Vehicle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Building,ADI708000G,20150620,15:38:00,Yes,Y,N,9,Fixed Object,9,1680,1.07,West,W,E FAYETTE ST,15,F,W,1087,N WASHINGTON ST,39.2940638291553,-76.5895986557007,Point,,NA,Not Applicable,NA,NA,N,N,NA,2015-06-20T15:38:00Z
2015-02-24,Tue,N,2015,Q1,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Not Applicable,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ6930001,20150224,18:40:00,Yes,Y,N,1,Other Vehicle,1,NA,NA,NA,NA,2100 ORLEANS ST.,0,F,NA,NA,200 N. CHESTER ST.,39.29542,-76.58765,Point,,NA,NA,NA,NA,N,N,NA,2015-02-24T18:40:00Z
2018-06-26,Tue,N,2018,Q2,Daylight,Baltimore City,24,Intersection Related,Same Movement Angle,Dry,No Defects,Not Applicable,NA,ADG6830022,20180626,11:00:00,No,N,N,1,Fixed Object,9,NA,0,NA,NA,2000 ORLEANS ST,0,U,U,NA,400 CASTLE ST,39.2953803784582,-76.5885096788406,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2018-06-26T11:00:00Z
2018-08-02,Thu,N,2018,Q3,Dark No Lights,Baltimore City,24,Not Applicable,Other,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ632003X,20180802,22:43:00,No,N,N,2,Other Vehicle,1,NA,0,NA,NA,1700 E BALTIMORE,5,F,E,NA,100 SOUTH BROADWAY,39.2915853073271,-76.5924887359142,Point,,Injury Crash,Not Applicable,NA,NA,N,N,NA,2018-08-02T22:43:00Z
2017-04-04,Tue,N,2017,Q2,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADH237000Q,20170404,15:45:00,No,N,N,1,Not Applicable,0,1680,1.14,West,W,E FAYETTE ST,75,F,E,1025,N WOLFE ST,39.2940420334915,-76.5914118289948,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-04-04T15:45:00Z
2016-01-28,Thu,N,2016,Q1,NA,Baltimore City,24,Non Intersection,Same Direction Sideswipe,Dry,No Defects,One-way Trafficway,Not Applicable,ADH608001D,20160128,17:30:00,No,N,N,1,Other Vehicle,1,1027,0.08,South,S,S WOLFE ST,50,F,S,1390,E LOMBARD ST,39.2908981973856,-76.5904341638088,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-01-28T17:30:00Z
2017-03-21,Tue,N,2017,Q1,Dawn,Baltimore City,24,Intersection,Other,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI0890004,20170321,06:00:00,No,N,N,1,Other Vehicle,1,40,6.7,East,E,ORLEANS ST,0,F,E,0,N CHESTER ST,39.2953912760827,-76.5876540541649,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-03-21T06:00:00Z
2015-02-28,Sat,Y,2015,Q1,Dark Lights On,Baltimore City,24,Non Intersection,Other,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADG9700004,20150228,21:45:00,No,N,N,1,Parked Vehicle,2,1665,1.647,East,E,E BALTIMORE ST,100,F,E,1415,S PATTERSON PARK AVE,39.2917970437749,-76.5847170352936,Point,,NA,NA,NA,NA,N,N,NA,2015-02-28T21:45:00Z
2015-10-22,Thu,N,2015,Q4,Daylight,Baltimore City,24,Intersection,Head On Left Turn,Dry,Not Applicable,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI9510003,20151022,09:55:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,1800 E. FAYETTE ST,0,F,W,NA,200 N. WASHINGTON ST,39.2941530875175,-76.5893089771271,Point,,NA,NA,NA,NA,N,N,NA,2015-10-22T09:55:00Z
2018-06-23,Sat,Y,2018,Q2,Daylight,Baltimore City,24,Commercial Driveway,Same Direction Sideswipe,Wet,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ7800029,20180623,15:52:00,No,N,N,1,Not Applicable,0,40,6.6,East,E,ORLEANS ST,20,F,W,1087,N WASHINGTON ST,39.2953378258131,-76.5893237292767,Point,,Property Damage Crash,Raining,NA,NA,N,N,NA,2018-06-23T15:52:00Z
2016-01-27,Wed,N,2016,Q1,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Wet,No Defects,One-way Trafficway,Not Applicable,MTA0107000N,20160127,05:30:00,Yes,Y,N,1,Other Vehicle,1,1392,0.62,East,E,E PRATT ST,0,F,E,1383,PRESIDENT ST,39.2942848990768,-76.5850174427032,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-01-27T05:30:00Z
2017-02-17,Fri,N,2017,Q1,Daylight,Baltimore City,24,Non Intersection,Other,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADH5170016,20170217,09:30:00,No,N,N,1,Not Applicable,0,3006,0.068,West,W,FAIRMOUNT AVE,0,U,E,0,ANN ST,39.2927695701173,-76.5918584167957,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2017-02-17T09:30:00Z
2016-03-25,Fri,N,2016,Q1,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ652000L,20160325,16:16:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,ODONNELL ST,0,F,N,NA,INTERSTATE AVE,39.2906968376057,-76.5853714942932,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-03-25T16:16:00Z
2016-11-12,Sat,Y,2016,Q4,Dusk,Baltimore City,24,Not Applicable,Single Vehicle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",NA,ADI744001H,20161112,19:20:00,No,N,N,3,Not Applicable,0,NA,0,NA,NA,2300 BLK ORLEANS ST,0,U,U,NA,400 BLK N BRADFORD,39.2955334639798,-76.5841054916382,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2016-11-12T19:20:00Z
2016-09-27,Tue,N,2016,Q3,Daylight,Baltimore City,24,Non Intersection,Other,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADF9550045,20160927,17:49:00,No,N,N,4,Other Vehicle,1,NA,0,NA,NA,E LOMBARD,NA,F,W,NA,WASHINGTON ST,39.2905888919182,-76.5891560912132,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-09-27T17:49:00Z
2018-10-06,Sat,Y,2018,Q4,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ885000Y,20181006,21:36:00,Yes,Y,N,1,Not Applicable,0,1665,1.337,East,E,E BALTIMORE ST,0,F,E,1027,S WOLFE ST,39.2916629003778,-76.5904517988915,Point,,Injury Crash,Not Applicable,NA,NA,N,N,NA,2018-10-06T21:36:00Z
2017-10-07,Sat,Y,2017,Q4,Daylight,Baltimore City,24,Intersection,Angle Meets Right Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADH4440020,20171007,08:18:00,Yes,Y,N,1,Pedestrian,3,NA,0,NA,NA,PATTERSON PARK,0,F,E,NA,ORLEANS ST,39.2955230853109,-76.5849383175373,Point,,Injury Crash,Clear,NA,NA,Y,N,NA,2017-10-07T08:18:00Z
2019-01-18,Fri,N,2019,Q1,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Wet,No Defects,One-way Trafficway,Not Applicable,ADJ844001Z,20190118,00:30:00,Yes,Y,N,1,Not Applicable,0,1392,0.948,East,E,E PRATT ST,0,F,E,0,S EDEN ST,39.2942199014787,-76.5869519859552,Point,,Property Damage Crash,Raining,NA,NA,N,N,NA,2019-01-18T00:30:00Z
2018-08-06,Mon,N,2018,Q3,Dark Lights On,Baltimore City,24,Intersection,Head On,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ473004L,20180806,02:30:00,Yes,Y,N,1,Other Vehicle,1,NA,0,NA,NA,UNIT S. PATTERSON PARK,0,F,U,NA,2300 E. BALTIMORE ST,39.291883191264,-76.5847230702639,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2018-08-06T02:30:00Z
2016-09-25,Sun,Y,2016,Q3,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,Not Applicable,Not Applicable,ADI551001S,20160925,09:30:00,No,N,N,1,Not Applicable,0,1087,0.331,North,N,N WASHINGTON ST,10,F,N,0,JEFFERSON ST,39.295599887424,-76.5894269943237,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-09-25T09:30:00Z
2015-07-09,Thu,N,2015,Q3,Unknown,Baltimore City,24,Intersection Related,Opposite Direction Sideswipe,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADI997000Q,20150709,07:30:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,E LOMBARD ST,20,F,E,NA,S WASHINGTON ST,39.2905556778271,-76.5892177820206,Point,,NA,NA,NA,NA,N,N,NA,2015-07-09T07:30:00Z
2015-08-08,Sat,Y,2015,Q3,Dark Lights On,Baltimore City,24,Non Intersection,Same Direction Sideswipe,Dry,No Defects,One-way Trafficway,Not Applicable,ADH909000W,20150808,21:07:00,Yes,Y,N,1,Parked Vehicle,2,1025,1.4,South,S,N WOLFE ST,15,F,N,40,ORLEANS ST,39.294661650433,-76.5906500816345,Point,,NA,Not Applicable,NA,NA,N,N,NA,2015-08-08T21:07:00Z
2017-08-02,Wed,N,2017,Q3,Dark - Unknown Lighting,Baltimore City,24,Not Applicable,Same Direction Rear End,Wet,No Defects,One-way Trafficway,Not Applicable,ADJ6320032,20170802,20:25:00,No,N,N,2,Parked Vehicle,2,NA,0,NA,NA,200 S CASTE,5,F,S,NA,1800 E PRATT,39.2918634707638,-76.5847063064575,Point,,Property Damage Crash,Unknown,NA,NA,N,N,NA,2017-08-02T20:25:00Z
2019-06-01,Sat,Y,2019,Q2,Dawn,Baltimore City,24,Intersection,Head On Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ937000Z,20190601,21:25:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,2300 E. BIDDLE,0,F,E,NA,1200 E. PATERSONPARK,39.2955202876534,-76.5849230722341,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2019-06-01T21:25:00Z
2017-08-07,Mon,N,2017,Q3,Not Applicable,Baltimore City,24,Intersection,Same Movement Angle,Wet,No Defects,"Two-way, Not Divided",Not Applicable,ADI9970031,20170807,07:15:00,Yes,Y,N,1,Other Vehicle,1,1665,1.564,East,E,E BALTIMORE ST,0,F,E,0,S COLLINGTON AVE,39.2917970437749,-76.586240530014,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-08-07T07:15:00Z
2019-05-05,Sun,Y,2019,Q2,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Not Applicable,Not Applicable,One-way Trafficway,Not Applicable,ADJ7510020,20190505,02:20:00,Yes,Y,N,0,Not Applicable,0,NA,0,NA,NA,400 N WOLFE ST,0,F,S,NA,1800 ORLEANS ST,39.295389,-76.590801,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2019-05-05T02:20:00Z
2015-05-08,Fri,N,2015,Q2,Unknown,Baltimore City,24,Non Intersection,Unknown,Dry,No Defects,One-way Trafficway,Not Applicable,ADJ652000H,20150508,08:00:00,No,N,N,2,Parked Vehicle,2,NA,NA,NA,NA,PATTERSON PARK,0,F,W,NA,FAIRMOUNT AVE,39.2929844166978,-76.5848350524902,Point,,NA,NA,NA,NA,N,N,NA,2015-05-08T08:00:00Z
2016-09-28,Wed,N,2016,Q3,Daylight,Baltimore City,24,Non Intersection,Same Direction Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ386003P,20160928,17:20:00,No,N,N,1,Other Vehicle,1,40,7.216,East,E,ORLEANS ST,5,F,E,0,N KENWOOD AVE,39.2904975531297,-76.5903349220753,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-09-28T17:20:00Z
2015-05-28,Thu,N,2015,Q2,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ3890003,20150528,18:45:00,Yes,Y,N,1,Not Applicable,0,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2954753434144,-76.5849101543427,Point,,NA,NA,NA,NA,N,N,NA,2015-05-28T18:45:00Z
2018-03-26,Mon,N,2018,Q1,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADK0120004,20180326,09:47:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,500 NORTH CASTLE STREET,0,F,S,NA,2000 JEFFERSON STREET,39.2965152790959,-76.5885955095291,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2018-03-26T09:47:00Z
2018-05-24,Thu,N,2018,Q2,Daylight,Baltimore City,24,Intersection,Same Direction Rear End Right Turn,Dry,No Defects,One-way Trafficway,Not Applicable,ADG2040009,20180524,08:00:00,No,N,N,1,Not Applicable,0,1025,1.32,South,S,N WOLFE ST,0,F,S,0,JEFFERSON ST,39.296380358173,-76.5907895565033,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2018-05-24T08:00:00Z
2016-09-10,Sat,Y,2016,Q3,Daylight,Baltimore City,24,Non Intersection,Same Movement Angle,Not Applicable,No Defects,One-way Trafficway,Not Applicable,ADJ484002K,20160910,17:00:00,No,N,N,2,Not Applicable,0,1390,0.15,West,W,E LOMBARD ST,100,F,E,0,S CHESTER ST,39.290069919944,-76.587316095829,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2016-09-10T17:00:00Z
2018-08-07,Tue,N,2018,Q3,Daylight,Baltimore City,24,Intersection,Same Direction Sideswipe,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADG540000X,20180807,09:00:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,UNIT N PATTERSON PARK,0,F,S,NA,2300 E BALTIMORE,39.2919174426459,-76.5847116708755,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2018-08-07T09:00:00Z
2015-06-05,Fri,N,2015,Q2,Dark Lights On,Baltimore City,24,Intersection,Single Vehicle,Wet,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADH991001S,20150605,00:18:00,Yes,Y,N,3,Not Applicable,0,1415,0.08,South,S,S PATTERSON PARK AVE,0,F,S,1390,E LOMBARD ST,39.2907300516299,-76.5846365690231,Point,,NA,NA,NA,NA,N,N,NA,2015-06-05T00:18:00Z
2016-01-21,Thu,N,2016,Q1,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Ice,Other,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,MTA0107000M,20160121,07:53:00,Yes,Y,N,1,Other Vehicle,1,1680,0.83,West,W,E FAYETTE ST,25,F,E,1410,N PATTERSON PARK AVE,39.2942848990768,-76.5850174427032,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-01-21T07:53:00Z
2015-11-30,Mon,N,2015,Q4,Dark Lights On,Baltimore City,24,Non Intersection,Same Direction Rear End,Wet,Not Applicable,Not Applicable,Not Applicable,ADI551000T,20151130,20:03:00,Yes,Y,N,1,Not Applicable,0,40,6.53,East,E,ORLEANS ST,100,F,E,1025,N WOLFE ST,39.2951681339102,-76.5918409824371,Point,,NA,Raining,NA,NA,N,N,NA,2015-11-30T20:03:00Z
2015-08-06,Thu,N,2015,Q3,Dark Lights On,Baltimore City,24,Intersection,Head On Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADG6480008,20150806,20:25:00,Yes,Y,N,1,Not Applicable,0,1680,1.07,West,W,E FAYETTE ST,0,F,W,1087,N WASHINGTON ST,39.2941354434317,-76.5893237292767,Point,,NA,NA,NA,NA,N,N,NA,2015-08-06T20:25:00Z
2017-09-28,Thu,N,2017,Q3,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,Other,Building,ADJ761001F,20170928,11:15:00,Yes,Y,N,1,Fixed Object,9,40,6.7,East,E,ORLEANS ST,0,F,E,0,N CHESTER ST,39.2943025431249,-76.584884673357,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-09-28T11:15:00Z
2017-05-16,Tue,N,2017,Q2,Daylight,Baltimore City,24,Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADG6480031,20170516,17:18:00,Yes,Y,N,1,Not Applicable,0,1665,1.5,East,E,E BALTIMORE ST,0,F,E,0,S CHESTER ST,39.2917830318238,-76.5874116495252,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2017-05-16T17:18:00Z
2017-10-19,Thu,N,2017,Q4,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADE4590064,20171019,14:42:00,Yes,Y,N,1,Not Applicable,0,NA,0,NA,NA,2000 JEFFERSON ST,0,F,E,NA,500 N CASTLE ST,39.2964799921104,-76.588579416275,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-10-19T14:42:00Z
2019-08-22,Thu,N,2019,Q3,Daylight,Baltimore City,24,Non Intersection,Other,Dry,No Defects,One-way Trafficway,Tree Shrubbery,ADJ4570051,20190822,10:20:00,No,N,N,9,Parked Vehicle,2,NA,0,NA,NA,UNIT N WOLF ST,10,F,S,NA,1900 E BALTIMORE ST,39.2914497032207,-76.5903873764282,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2019-08-22T10:20:00Z
2015-03-02,Mon,N,2015,Q1,Daylight,Baltimore City,24,Intersection,Same Direction Left Turn,Wet,No Defects,"Two-way, Not Divided",Not Applicable,ADJ6290007,20150302,14:30:00,Yes,Y,N,1,Other Vehicle,1,1085,0.48,North,N,S WASHINGTON ST,0,F,N,1390,E LOMBARD ST,39.2905432225388,-76.5890783071518,Point,,NA,NA,NA,NA,N,N,NA,2015-03-02T14:30:00Z
2019-08-15,Thu,N,2019,Q3,Daylight,Baltimore City,24,Intersection,Head On Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADK2700003,20190815,18:54:00,Yes,Y,N,1,Other Vehicle,1,1025,1.48,South,S,N WOLFE ST,0,F,S,1680,E FAYETTE ST,39.2940838795549,-76.5906262539673,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2019-08-15T18:54:00Z
2019-04-06,Sat,Y,2019,Q2,Daylight,Baltimore City,24,Not Applicable,Same Direction Right Turn,Not Applicable,No Defects,Not Applicable,Not Applicable,ADJ8740023,20190406,17:00:00,Yes,Y,N,1,Other Vehicle,1,1087,0.167,North,N,N WASHINGTON ST,25,F,N,1680,E FAYETTE ST,39.2940451197992,-76.5891428485895,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2019-04-06T17:00:00Z
2016-05-10,Tue,N,2016,Q2,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Wet,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI0120018,20160510,08:12:00,No,N,N,1,Other Vehicle,1,NA,0,NA,NA,1800 ORLEANS ST,100,F,W,NA,600 N CHAPEL,39.2953175873509,-76.5900385379791,Point,,Property Damage Crash,Raining,NA,NA,N,N,NA,2016-05-10T08:12:00Z
2017-02-28,Tue,N,2017,Q1,Daylight,Baltimore City,24,Non Intersection,Single Vehicle,Dry,No Defects,One-way Trafficway,Building,ADH5090018,20170228,07:30:00,No,N,N,9,Fixed Object,9,3005,0.61,West,W,FAIRMOUNT AVE,100,F,W,1410,N PATTERSON PARK AVE,39.2929262940164,-76.584974527359,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-02-28T07:30:00Z
2016-01-12,Tue,N,2016,Q1,Daylight,Baltimore City,24,Intersection Related,Same Movement Angle,Dry,No Defects,One-way Trafficway,Not Applicable,ADH081000B,20160112,10:10:00,Yes,Y,N,1,Parked Vehicle,2,144,3.37,East,E,PRATT ST,0,U,W,144,PRATT ST (EB COUPLET),39.2906968376057,-76.5853714942932,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-01-12T10:10:00Z
2015-09-03,Thu,N,2015,Q3,Daylight,Baltimore City,24,Non Intersection,Single Vehicle,Dry,No Defects,One-way Trafficway,NA,ADJ376000T,20150903,15:00:00,No,N,Y,9,Not Applicable,0,3005,0.673,West,W,FAIRMOUNT AVE,0,F,W,0,COLLINGTON AVE,39.2929034600927,-76.5859133005142,Point,,NA,Not Applicable,NA,NA,N,N,NA,2015-09-03T15:00:00Z
